a	uno	(cl:art;sing;)/(sing;)
a few	pocos	(cl:art)/(cl:art)
ability	capacidad	(cl:subst;)/(fem;)
able	capaz	(cl:adj;)/
abnormal	anormal	(cl:adj;)/
about	sobre	(cl:prep;)/
about to	casi	(cl:adv;)/
above	arriba	(cl:prep/adv;)/
abroad	fuera	(cl:adv;)/		exterior	(cl:subst;)/(masc;)
abstract	abstrair	(cl:vb;)/		abstracto	(cl:adj;)/		resumen	(cl:subst;)/(masc;)
abuse	abusar	(cl:vb;)/
academic	academico	(cl:subst/adj;)/
accept	aceptar	(cl:vb;)/
acceptable	aceptable	(cl:adj;)/
access	entrada	(cl:subst;)/(fem;)
accident	accidente	(cl:subst;)/(masc;)
accompanied	acompañado	(cl:vb;)/
accomplish	realizar	(cl:vb;)/
accord	otorgar	(cl:vb;)/		acuerdo	(cl:subst;)/(masc;)
accordance	acuerdo	(cl:subst;)/(masc;)
according to	conforme	(cl:adv;)/
account	considerar	(cl:vb;)/		cuenta	(cl:subst;)/(fem;)
acid	ácido	(cl:subst;)/
acne	acne	(cl:subst;)/
across	através	(cl:prep;)/
act	actuar	(cl:vb;)/		acto	(cl:subst;)/(masc;)
action	acción	(cl:subst;)/(fem;)
active	activo	(cl:adj;)/
activity	actividad	(cl:subst;)/		actividad	(cl:subst;)/
actor	actor	(cl:subst;)/
actress	actriz	(cl:subst;)/(fem;)
actual	actual	(cl:adj;)/
actually	realmente	(cl:adv;)/		en efecto	(cl:adv;)/
add	adicionar	(cl:vb;)/(cl:adj;)
addition	adición	(cl:subst;)/
additional	adicional	(cl:adj;)/
address	dirigir	(cl:vb;)/		dirección	(cl:subst;)/(fem;)
adequate	suficiente	(cl:adj;)/
administration	administración	(cl:subst;)/(fem;)
admission	aceptación	(cl:subst;)/(fem;)
adopt	adoptar	(cl:vb;)/
adult	adulto	(cl:subst/adj;)/
advantage	ventaja	(cl:subst;)/(fem;)
adventure	aventura	(cl:subst;)/(fem;)
adversary	oponente	(cl:subst;)/
advertisement	reclamo	(cl:subst;)/(masc;)		reclamo	(cl:subst;)/(masc;)
advice	consejo	(cl:subst;)/(masc;)
advise	aconsejar	(cl:vb;)/
affair	asunto	(cl:subst;)/
affect	afectar	(cl:vb;)/
after	después	(cl:prep;)/		después	(cl:adv;)/
again	nuevamente	(cl:adv;)/		nuevamente	(cl:adv;)/
against	contra	(cl:prep;)/
age	edad	(cl:subst;)/(fem;)		envejecer	(cl:vb;)/
agent	agente	(cl:subst;)/
aggression	agresión	(cl:subst;)/(fem;)
aggressive	agressivo	(cl:adj;)/
agreement	acuerdo	(cl:subst;)/(masc;)
agriculture	agricultura	(cl:subst;)/(fem;)
ahead	adelante	(cl:adv;)/		adelante	(cl:adv;)/
aid	ayudar	(cl:vb;)/		ayuda	(cl:subst;)/(fem;)
air	aire	(cl:subst;)/(masc;)
aircraft	aeronave	(cl:subst;)/
airline	aerolinea	(cl:subst;)/(fem;)
airport	aeropuerto	(cl:subst;)/(masc;)
alcohol	alcohol	(cl:subst;)/
all	todos	(cl:art/pron;plu;)/(plu;)
allergic	alérgico	(cl:adj;)/
allergy	alergia	(cl:subst;)/
allow	permitir	(cl:vb;)/
allowed	permitido	(cl:adj;)/
almanac	almanaque	(cl:subst;)/
almost	casi	(cl:adv;)/
alone	solo	(cl:adj/adv;)/		solo	(cl:adv;)/
along	a lo largo de	(cl:prep;)/
already	ya	(cl:adv;)/		ya	(cl:adv;)/
also	también	(cl:adv;)/
alternative	alternativa	(cl:adj/subst;)/
although	aunque	(cl:conj;)/
always	siempre	(cl:adv;)/
amber	ámbar	(cl:subst;)/
ambulance	ambulancia	(cl:subst;)/(fem;)
america	América	(cl:subst;sing;fem;)/(sing;fem;)
american	americano	(cl:adj/subst;)/
among	entre	(cl:prep;)/
amount	cuantía	(cl:subst;)/(fem;)		cantidad	(cl:subst;)/(fem;)		importar	(cl:vb;)/
an	uno	(cl:art;sing;)/(sing;)
ancient	antiguo	(cl:adj;)/
and	y	(cl:conj;)/
angel	ángel	(cl:subst;)/
angry	enojado	(cl:adj;)/
