a	um	(cl:art;sing;)/(sing;)
a few	poucos	(cl:art)/(cl:art)
ability	capacidade	(cl:subst;)/(fem;)
able	capaz	(cl:adj;)/
abnormal	anormal	(cl:adj;)/
about	sobre	(cl:prep;)/
about to	quase	(cl:adv;)/
above	acima	(cl:prep/adv;)/
abroad	fora	(cl:adv;)/		exterior	(cl:subst;)/(masc;)
abstract	abstrair	(cl:vb;)/		abstrato	(cl:adj;)/		resumo	(cl:subst;)/(masc;)
abuse	abusar	(cl:vb;)/
academic	acadêmico	(cl:subst/adj;)/
accept	aceitar	(cl:vb;)/
acceptable	aceitável	(cl:adj;)/
access	acesso	(cl:subst;)/(masc;)
accident	acidente	(cl:subst;)/(masc;)
accompanied	acompanhado	(cl:vb;)/
accomplish	realizar	(cl:vb;)/
accord	outorgar	(cl:vb;)/		acordo	(cl:subst;)/(masc;)
accordance	acordo	(cl:subst;)/(masc;)
according to	conforme	(cl:adv;)/
account	considerar	(cl:vb;)/		conta	(cl:subst;)/(fem;)
acid	ácido	(cl:subst;)/(masc;)
acne	acne	(cl:subst;)/
across	através	(cl:prep;)/		transversalmente	(cl:adv;)/
act	agir	(cl:vb;)/		ato	(cl:subst;)/(masc;)
action	ação	(cl:subst;)/(fem;)
active	ativo	(cl:adj;)/
activity	atividade	(cl:subst;)/		atividade	(cl:subst;)/
actor	ator	(cl:subst;)/
actress	atriz	(cl:subst;)/(fem;)
actual	atual	(cl:adj;)/
actually	realmente	(cl:adv;)/		verdadeiramente	(cl:adv;)/
add	adicionar	(cl:vb;)/
addition	adição	(cl:subst;)/
additional	adicional	(cl:adj;)/
address	endereçar	(cl:vb;)/		endereço	(cl:subst;)/(masc;)
adequate	adequado	(cl:adj;)/
administration	administração	(cl:subst;)/(fem;)
admission	admissão	(cl:subst;)/(fem;)
adopt	adotar	(cl:vb;)/
adult	adulto	(cl:subst/adj;)/
advanced training	aperfeiçoamento	(cl:subst;)/
advantage	vantagem	(cl:subst;)/(fem;)
adventure	aventura	(cl:subst;)/(fem;)
adversary	oponente	(cl:subst;)/
advertisement	anúncio	(cl:subst;)/(masc;)		anúncio	(cl:subst;)/(masc;)
advice	conselho	(cl:subst;)/(masc;)
advise	aconselhar	(cl:vb;)/
affair	questão	(cl:subst;)/
affect	afetar	(cl:vb;)/
aforementioned	mencionado anteriormente	(cl:adj;)/
after	após	(cl:prep;)/		depois	(cl:adv;)/		depois	(cl:conj;)/
again	novamente	(cl:adv;)/		novamente	(cl:adv;)/
against	contra	(cl:prep;)/
age	idade	(cl:subst;)/(fem;)		envelhecer	(cl:vb;)/
agent	agente	(cl:subst;)/
aggression	agressão	(cl:subst;)/(fem;)
aggressive	agressivo	(cl:adj;)/
ago	atrás	(cl:adv;)/
agreement	acordo	(cl:subst;)/(masc;)
agriculture	agricultura	(cl:subst;)/(fem;)
ahead	adiante	(cl:adv;)/		adiante	(cl:adv;)/
aid	ajudar	(cl:vb;)/		ajuda	(cl:subst;)/(fem;)
air	ar	(cl:subst;)/(masc;)		colocar no ar	(cl:vb;)/
aircraft	aeronave	(cl:subst;)/(fem;)
airline	linha aérea	(cl:subst;)/
airport	aeroporto	(cl:subst;)/(masc;)
alcohol	álcool	(cl:subst;)/(masc;)
all	todos	(cl:art/pron;plu;)/(plu;)
allergic	alérgico	(cl:adj;)/
allergy	alergia	(cl:subst;)/
allow	permitir	(cl:vb;)/
allowed	permitido	(cl:adj;)/
almanac	almanaque	(cl:subst;)/
almost	quase	(cl:adv;)/
alone	sozinho	(cl:adj/adv;)/		só	(cl:adv;)/
along	ao longo de	(cl:prep;)/
