a causa de	because of	(cl:conj;)/
a lo largo de	along	(cl:prep;)/
a menos que	unless	(cl:conj;)/
a veces	sometimes	(cl:adv;)/
abajo	to	(cl:prep;)/		down	(cl:adv;)/		down	(cl:prep;)/		below	(cl:adv;)/
abeja	bee	(cl:subst;fem;)/
abierto	open	(cl:adj;)/
abismo	deep	(cl:subst;masc;)/
abogado	lawyer	(cl:subst;)/
abrigar	shelter	(cl:vb;)/
abrigo	coat	(cl:subst;fem;)/		shelter	(cl:subst;masc;)/
abril	April	(cl:subst;sing;)/(sing;)
abrir	open	(cl:vb;)/		open	(cl:vb;)/
abstracto	abstract	(cl:adj;)/
abstrair	abstract	(cl:vb;)/
abuela	grandmother	(cl:subst;fem;)/
abuelo	grandfather	(cl:subst;masc;)/
abundante	plenty	(cl:adj;)/
abusar	abuse	(cl:vb;)/
acabado	over	(cl:adv;)/
academico	academic	(cl:subst/adj;)/
acariciar	pet	(cl:vb;)/
accidental	chance	(cl:adj;)/
accidente	accident	(cl:subst;masc;)/
acción	action	(cl:subst;fem;)/		share	(cl:subst;fem;)/
aceite	oil	(cl:subst;masc;)/		olive oil	(cl:subst;masc;)/
acentuar	stress	(cl:vb;)/
aceptable	acceptable	(cl:adj;)/
aceptación	admission	(cl:subst;fem;)/
aceptar	accept	(cl:vb;)/
acero	steel	(cl:subst;masc;)/
aclaración	explanation	(cl:subst;fem;)/
aclarar	clear	(cl:vb;)/
acne	acne	(cl:subst;)/
acompañado	accompanied	(cl:vb;)/
aconsejar	advise	(cl:vb;)/
acontecer	happen	(cl:vb;)/		happen	(cl:vb;)/
actividad	activity	(cl:subst;)/		activity	(cl:subst;)/
activo	active	(cl:adj;)/
acto	act	(cl:subst;masc;)/
actor	actor	(cl:subst;)/
actriz	actress	(cl:subst;fem;)/
actual	current	(cl:adj;)/		actual	(cl:adj;)/
actualmente	currently	(cl:adv;)/		now	(cl:adv;)/
actuar	act	(cl:vb;)/
acuerdo	agreement	(cl:subst;masc;)/		accordance	(cl:subst;masc;)/		accord	(cl:subst;masc;)/
acusación	charge	(cl:subst;)/
acusar	charge	(cl:vb;)/
acá	here	(cl:adv;)/
adaptar	fit	(cl:vb;)/
adecuado	fit	(cl:adj;)/
adelantado	forward	(cl:adj;)/
adelante	forward	(cl:adv;)/		ahead	(cl:adv;)/		ahead	(cl:adv;)/
además	besides	(cl:adv;)/
adicional	additional	(cl:adj;)/		plus	(cl:adj;)/
adicionar	add	(cl:adj;)/(cl:vb;)
adición	addition	(cl:subst;)/
adivinar	guess	(cl:vb;)/
adiós	bye	(cl:interj;)/
administración	management	(cl:subst;fem;)/		administration	(cl:subst;fem;)/
administrar	manage	(cl:vb;)/
adoptar	adopt	(cl:vb;)/
adorar	worship	(cl:vb;)/
adquirir	purchase	(cl:vb;)/
aduana	customs	(cl:subst;fem;)/(plu;)
adulto	adult	(cl:subst/adj;)/
aerolinea	airline	(cl:subst;fem;)/
aeronave	aircraft	(cl:subst;)/
aeropuerto	airport	(cl:subst;masc;)/
afectar	affect	(cl:vb;)/
afilado	sharp	(cl:adj;)/
agente	agent	(cl:subst;)/
agosto	August	(cl:subst;sing;)/(sing;)
agradar	please	(cl:vb;)/		please	(cl:vb;)/
agradecer	thank	(cl:vb;)/
agradecimiento	thank	(cl:subst;masc;)/
agresión	aggression	(cl:subst;fem;)/
agressivo	aggressive	(cl:adj;)/
agricultura	agriculture	(cl:subst;fem;)/
agrio	sour	(cl:adj;)/
agrupar	group	(cl:vb;)/
agua	water	(cl:subst;masc;)/
aguacero	thunderstorm	(cl:subst;masc;)/
aguar	water	(cl:vb;)/		water	(cl:vb;)/
agujero	hole	(cl:subst;masc;)/
ahora	by now	(cl:adv;)/		now	(cl:adv;)/		right now	(cl:adv;)/
aire	air	(cl:subst;masc;)/
ajo	garlic	(cl:subst;masc;)/
alambre	wire	(cl:subst;)/
alargar	extend	(cl:vb;)/
albacora	tuna	(cl:subst;)/
alcade	mayor	(cl:subst;)/
alcance	range	(cl:subst;)/
alcanzar	reach	(cl:vb;)/
alcohol	alcohol	(cl:subst;)/
aldea	village	(cl:subst;fem;)/
alegrar	be happy	(cl:vb;)/
alegría	joy	(cl:subst;)/
alemania	Germany	(cl:pron;sing;)/(sing;)
alergia	allergy	(cl:subst;)/
alfombra	carpet	(cl:subst;fem;)/
algo	something	(cl:pron;sing;)/(sing;)		anything	(cl:pron;sing;)/(sing;)		something	(cl:pron;sing;)/(sing;)
algodón	cotton	(cl:subst;masc;)/
alguien	someone	(cl:pron;sing;)/(sing;)		somebody	(cl:pron;sing;)/(sing;)
alguno	any	(cl:pron;sing;)/(sing;)
algún	some	(cl:pron;)/
alimentar	feed	(cl:vb;)/
alimento	feed	(cl:subst;masc;)/
allí	there	(cl:adv;)/
alma	soul	(cl:subst;fem;)/
almacenar	store	(cl:vb;)/
almanaque	almanac	(cl:subst;)/
almuerzo	lunch	(cl:subst;masc;)/
alquilar	rent	(cl:vb;)/		rent	(cl:vb;)/
alquiler	rental	(cl:subst;)/
alrededor	around	(cl:prep;)/		around	(cl:adv;)/
alternativa	alternative	(cl:adj/subst;)/
alto	high	(cl:adj/adv;)/
altura	height	(cl:subst;fem;)/
alérgico	allergic	(cl:adj;)/
