a	her	(cl:pron;sing;fem;)/(sing;fem;)		the	(cl:art;sing;fem)/(sing)
a maior parte	most	(cl:pron;)/
a mais	further	(cl:adj;)/
a menos que	unless	(cl:conj;)/
a par	par	(cl:adj;)/
abaixo	down	(cl:adv;)/		down	(cl:prep;)/		below	(cl:adv;)/
abaixo de	below	(cl:prep;)/
abelha	bee	(cl:subst;fem;)/
aberto	open	(cl:adj;)/
abismo	deep	(cl:subst;masc;)/
abrigar	shelter	(cl:vb;)/
abrigo	shelter	(cl:subst;masc;)/
abril	April	(cl:subst;sing;)/(sing;)
abrir	open	(cl:vb;)/		open	(cl:vb;reflex;)/
abstrair	abstract	(cl:vb;)/
abstrato	abstract	(cl:adj;)/
abundante	plenty	(cl:adj;)/
abusar	abuse	(cl:vb;)/
acabado	over	(cl:adv;)/
acadêmico	academic	(cl:subst/adj;)/
acariciar	pet	(cl:vb;)/
aceitar	accept	(cl:vb;)/
aceitável	acceptable	(cl:adj;)/
acender	light	(cl:vb;)/
acesso	access	(cl:subst;masc;)/
achar	find	(cl:vb;)/
acidental	chance	(cl:adj;)/
acidente	accident	(cl:subst;masc;)/
acima	above	(cl:prep/adv;)/		up	(cl:prep;)/
acne	acne	(cl:subst;)/
acompanhado	accompanied	(cl:vb;)/
aconselhar	advise	(cl:vb;)/
acontecer	happen	(cl:vb;)/		happen	(cl:vb;)/
acordar	wake	(cl:vb;)/
acordo	agreement	(cl:subst;masc;)/		accordance	(cl:subst;masc;)/		accord	(cl:subst;masc;)/
acreditar	believe	(cl:vb;)/
acusar	charge	(cl:vb;)/
acusação	charge	(cl:subst;fem;)/
adequado	adequate	(cl:adj;)/
adiantado	forward	(cl:adj;)/
adiante	forward	(cl:adv;)/		ahead	(cl:adv;)/		ahead	(cl:adv;)/
adicional	additional	(cl:adj;)/		plus	(cl:adj;)/
adicionar	add	(cl:vb;)/
adivinhar	guess	(cl:vb;)/
adição	addition	(cl:subst;)/
administrar	manage	(cl:vb;)/
administração	management	(cl:subst;fem;)/		administration	(cl:subst;fem;)/
admissão	admission	(cl:subst;fem;)/
adorar	worship	(cl:vb;)/
adorno	jewelry	(cl:subst;)/
adotar	adopt	(cl:vb;)/
adquirir	purchase	(cl:vb;)/
adulto	adult	(cl:subst/adj;)/
advertência	notice	(cl:subst;fem;)/
advogado	lawyer	(cl:subst;)/
aeronave	aircraft	(cl:subst;fem;)/
aeroporto	airport	(cl:subst;masc;)/
afetar	affect	(cl:vb;)/
afiado	sharp	(cl:adj;)/
afundar	sink	(cl:vb;)/
agente	agent	(cl:subst;)/
agir	act	(cl:vb;)/
agora	by now	(cl:adv;)/		now	(cl:adv;)/		right now	(cl:adv;)/
agosto	August	(cl:subst;sing;)/(sing;)
agradar	please	(cl:vb;)/		please	(cl:vb;)/
agradecer	thank	(cl:vb;)/
agradecimento	thank	(cl:subst;masc;)/
agressivo	aggressive	(cl:adj;)/
agressão	aggression	(cl:subst;fem;)/
agricultura	agriculture	(cl:subst;fem;)/
agrupar	group	(cl:vb;)/
aguar	water	(cl:vb;)/		water	(cl:vb;)/
ainda	still	(cl:adv;)/		yet	(cl:adv;)/
ajuda	help	(cl:subst;)/		assistance	(cl:subst;fem;)/		aid	(cl:subst;fem;)/
ajudar	help	(cl:vb;)/		assist	(cl:vb;)/		aid	(cl:vb;)/
alcance	range	(cl:subst;)/
alcançar	reach	(cl:vb;)/		reach	(cl:vb;)/
aldeia	village	(cl:subst;fem;)/
alegrar	be happy	(cl:vb;)/
alegria	joy	(cl:subst;fem;)/
alemanha	Germany	(cl:pron;sing;)/(sing;)
alergia	allergy	(cl:subst;)/
alfândega	customs	(cl:subst;fem;)/(plu;)
algo	something	(cl:pron;sing;)/(sing;)
algodão	cotton	(cl:subst;masc;)/
algum	some	(cl:pron;)/		any	(cl:pron;sing;)/(sing;)
alguma coisa	something	(cl:pron;sing;)/(sing;)
alguém	someone	(cl:pron;sing;)/(sing;)		somebody	(cl:pron;sing;)/(sing;)
alho	garlic	(cl:subst;masc;)/
ali	there	(cl:adv;)/
alimentar	feed	(cl:vb;)/
alimento	feed	(cl:subst;masc;)/
alma	soul	(cl:subst;fem;)/
almanaque	almanac	(cl:subst;)/
almejar	long	(cl:vb;)/
almoço	lunch	(cl:subst;masc;)/
alojamento	lodging	(cl:subst;)/
altamente	highly	(cl:adv;)/
alternativa	alternative	(cl:adj/subst;)/
alto	high	(cl:adj/adv;)/
alto-falante	loudspeaker	(cl:subst;)/
altura	height	(cl:subst;fem;)/
alugar	rent	(cl:vb;)/		rent	(cl:vb;)/
aluguel	rental	(cl:subst;masc;)/
além	beyond	(cl:adv;)/		further	(cl:adv;)/
além disso	besides	(cl:adv;)/
alérgico	allergic	(cl:adj;)/
alívio	relief	(cl:subst;)/
amanhã	tomorrow	(cl:adv;)/
amar	love	(cl:vb;)/
amarelo	yellow	(cl:adj;)/
amargo	bitter	(cl:adj;)/
ambiente	environment	(cl:subst;)/
ambos	both	(cl:pron;plu;)/(plu;)		both	(cl:art;plu;)/(plu;)
ambulância	ambulance	(cl:subst;fem;)/
ameaça	threat	(cl:subst;fem;)/
americano	american	(cl:adj/subst;)/
amigo	friend	(cl:subst;)/
amor	love	(cl:subst;masc;)/
amostra	sample	(cl:subst;fem;)/
amável	kind	(cl:adj;)/
américa	America	(cl:subst;sing;fem;)/(sing;fem;)
andar	step	(cl:vb;)/		walk	(cl:vb;)/
anel	ring	(cl:subst;masc;)/
animal	animal	(cl:subst;masc;)/
animal de estimação	pet	(cl:subst;)/
animal macho	tom	(cl:subst;)/
aniversário	birthday	(cl:subst;masc;)/
anjo	angel	(cl:subst;masc;)/
ano	year	(cl:subst;masc;)/
anormal	abnormal	(cl:adj;)/
anotar	log	(cl:vb;)/
ansiedade	anxiety	(cl:subst;fem;)/
anterior	prior	(cl:adj;)/		former	(cl:adj;)/
antes	before	(cl:prep/adv;)/		prior	(cl:adv;)/
antes que	before	(cl:conj;)/
antibiótico	antibiotics	(cl:subst;)/
anticorpo	antibodies	(cl:subst;masc;)/
antigo	ancient	(cl:adj;)/		former	(cl:adj;)/
anual	annual	(cl:adj;)/
anunciar	announce	(cl:vb;)/
anônimo	anonymous	(cl:adj;)/
anúncio	announcement	(cl:subst;masc;)/		advertisement	(cl:subst;masc;)/		advertisement	(cl:subst;masc;)/
ao ar livre	outdoor	(cl:adj;)/
ao lado	nextdoor	(cl:prep;)/
ao lado de	next to	(cl:prep;)/
ao longo de	along	(cl:prep;)/
ao mesmo tempo	at the same time	(cl:adv;)/
ao redor	around	(cl:adv;)/
ao todo	at all	(cl:adv;)/
apagar	delete	(cl:vb;)/
aparar	trim	(cl:vb;)/
aparecer	appear	(cl:vb;)/
aparelho	device	(cl:subst;masc;)/
aparentemente	apparently	(cl:adv;)/
apartamento	apartment	(cl:subst;masc;)/
aperfeiçoamento	advanced training	(cl:subst;)/
apesar de	nevertheless	(cl:conj;)/
apesar disso	still	(cl:adv;)/
aplainar	plane	(cl:vb;)/
aplicar	apply	(cl:vb;)/
aplicação	application	(cl:subst;)/
apoiar	side	(cl:vb;)/		support	(cl:vb;)/
apoio	support	(cl:subst;masc;)/
apontar	point	(cl:vb;)/
aposta	bet	(cl:subst;fem;)/
apreciar	enjoy	(cl:vb;)/		enjoy	(cl:vb;)/
aprender	learn	(cl:vb;)/
apresentar	introduce	(cl:vb;)/		present	(cl:vb;)/
apropriado	appropriate	(cl:adj;)/		fit	(cl:adj;)/
aprovar	approve	(cl:vb;)/
aprovação	approval	(cl:subst;)/
aproximadamente	approximately	(cl:adv;)/
após	after	(cl:prep;)/
aquecer	heat	(cl:vb;)/
aquecimento	warmth	(cl:subst;masc;)/
